Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
"INSTITUTUL NAŢIONAL DE CERCETARE-DEZVOLTARE ÎN SILVICULTURĂ ""MARIN DRĂCEA""",1,INCDS,Institut de cercetare INCD,Bucuresti-Ilfov,1,4,24,0.395978823828924,0.505181347150259,38.0548560082001,31,0.087581806
INSTITUTUL DE BIOCHIMIE,1,BIOCHIM,Academia Română,Bucuresti-Ilfov,0,5,23,0.377978788590967,0.5,36.8453246166882,31,0.0836099
INSTITUTUL DE CERCETARE-DEZVOLTARE PENTRU POMICULTURA MARACINENI,0,ICDP,Institut de cercetare,Sud+Centru,0,2,16,0.216279735110311,0.47560975609756,35.4739840064401,16,0.047272224
INSTITUTUL DE ECONOMIE MONDIALA,0,IEM,Academia Română,Bucuresti-Ilfov,0,2,18,0.243025251837211,0.467625899280575,33.5956742054213,18,0.053572077
"INSTITUTUL DE CHIMIE ""CORIOLAN DRĂGULESCU""",2,ICT,Academia Română,Vest,0,3,20,0.342411234512387,0.5,28.1440510166731,24,0.07574959
INSTITUTUL DE BIOLOGIE,1,IBIOL,Academia Română,Bucuresti-Ilfov,0,2,11,0.145654079174306,0.443181818181818,27.777493274148,11,0.031927712
INSTITUTUL NAŢIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECŢIA MEDIULUI BUCUREŞTI,1,INCDPM,Institut de cercetare INCD,Bucuresti-Ilfov,1,3,16,0.255371574158539,0.485074626865671,26.0381369601704,21,0.056278955
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU FIZICA TEHNICA-IFT IASI,2,NIRDTP,Institut de cercetare INCD,Nord-Est,0,4,21,0.382609052313742,0.513157894736842,25.9271220854527,26,0.084355436
INSTITUTUL NATIONAL DE CERCETARE -DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA - ECOIND,1,ECOIND,Institut de cercetare INCD,Bucuresti-Ilfov,0,3,18,0.326893967715886,0.489949748743718,25.8685242632409,21,0.072375335
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU BIORESURSE ALIMENTARE - IBA BUCURESTI,1,IBA,Institut de cercetare INCD,Bucuresti-Ilfov,1,3,21,0.286993272748857,0.482673267326732,24.2955210031567,23,0.06314924
INSTITUTUL REGIONAL DE GASTROENTEROLOGIE - HEPATOLOGIE PROF. DR. OCTAVIAN FODOR CLUJ-NAPOCA,0,IRGH,Institut clinic,Nord-Vest,0,2,9,0.0885936148893262,0.414012738853503,23.892032946712,9,0.019194191
